area_sq_km,capacity_mw_ac,capacity_mw_dc,cnty_fips,country,county,dist_km,elevation,latitude,lcot,longitude,mean_cf_ac,mean_cf_dc,mean_lcoe,mean_res,reg_mult,reinforcement_cost_per_mw_ac,reinforcement_dist_km,sc_point_gid,state,timezone,total_lcoe,trans_cap_cost_per_mw_ac
11.532131762695313,370.0609190167589,495.8816657958984,32021,United States,Mineral,193.6593700299879,2381.733333333333,38.237,38.64901333919276,-118.882,0.33148408,0.24737622,38.18782547089571,5.489029,1.0970614,69452.71525998335,12.120214280248092,43352,Nevada,-8,76.83683881008847,1317803.800871179
4.113504217529297,132.00049933893774,176.88068135375977,32021,United States,Mineral,120.1194934498439,2292.555555555556,38.261,58.434177065533646,-118.747,0.32879716,0.245371,38.44077328204197,5.441257,1.095041,599908.6065504176,95.63593498310784,43353,Nevada,-8,96.8749503475756,1480509.2754206855
35.92868115234375,1152.9352109300662,1544.9332895507812,32021,United States,Mineral,207.413019357116,1886.3333333333333,38.284,36.928311801914695,-118.611,0.32500145,0.2425384,38.82291533877232,5.4011393,1.0927845,69452.71525998335,12.120214280248092,43354,Nevada,-8,75.751227140687,1230119.3734848285
22.090887158203124,708.8865441419664,949.9081478027344,32021,United States,Mineral,127.0287531857969,2007.5333333333333,38.307,38.53167231681665,-118.475,0.32578132,0.24312039,38.68055604340201,5.417606,1.0911115,599908.6065504176,95.63593498310784,43355,Nevada,-8,77.21222836021866,759342.535659879
21.77895607910156,698.8769004469182,936.4951114013672,32021,United States,Mineral,133.2495388800399,2005.7142857142856,38.33,40.03494110824389,-118.339,0.32414907,0.2419023,38.81537581919823,5.4065456,1.0890919,599908.6065504176,95.63593498310784,43356,Nevada,-8,78.85031692744212,805296.1287012859
23.0121,738.4479339763642,989.5203,32021,United States,Mineral,137.1627596466719,1866.0666666666664,38.353,39.333986541672026,-118.204,0.3238505,0.24167953,38.79493357910266,5.40778,1.0871999,599908.6065504176,95.63593498310784,43357,Nevada,-8,78.1289201207747,779421.5948910856
25.661448632812498,823.4642415542855,1103.4422912109374,32021,United States,Mineral,66.62157138848602,1741.6923076923076,38.375,44.30152313275354,-118.068,0.32614836,0.2433943,38.46370374646303,5.445302,1.0852373,1050411.4698617598,439.129707475003,43358,Nevada,-8,82.76522687921657,514138.81481814
3.299292059326172,105.8727849769616,141.8695585510254,32021,United States,Mineral,55.02701294725885,2095.714285714286,38.398,48.27536777462908,-117.932,0.327729,0.24457383,38.2126529791336,5.4457126,1.0830048,1050411.4698617598,439.129707475003,43359,Nevada,-8,86.48802075376267,662741.0928226721
71.3156431640625,2288.486354305992,3066.572656054688,32021,United States,Mineral,388.093389361595,1815.3125,38.42,33.00853423921323,-117.795,0.33255628,0.24817632,37.60098974768133,5.514877,1.081036,21281.85928564996,8.057422074112306,43360,Nevada,-8,70.60952398689457,1167349.2604462293
52.049302734375,1670.2387035129143,2238.120017578125,32009,United States,Esmeralda,31.9667272402614,1778.0588235294117,38.442,32.129631298823426,-117.659,0.33363658,0.24898252,37.42097660512049,5.5181684,1.0790159,1050411.4698617598,439.129707475003,43361,Nevada,-8,69.55060790394391,110328.69643278811
77.74347568359374,2494.752854978167,3342.969454394531,32023,United States,Nye,24.18990257669732,1673.2941176470588,38.464,30.98811612938669,-117.523,0.33467466,0.2497572,37.24815698571227,5.535079,1.077042,1050411.4698617598,439.129707475003,43362,Nevada,-8,68.23627311509895,72572.75709208801
75.87237568359375,2434.7101050765864,3262.512154394531,32023,United States,Nye,21.2821233688382,1726.1333333333334,38.486,30.84426662514425,-117.386,0.33516556,0.25012356,37.13991670372869,5.537351,1.0751725,1050411.4698617598,439.129707475003,43363,Nevada,-8,67.98418332887294,68999.3866622659
82.22050546874999,2638.4187091238914,3535.4817351562497,32023,United States,Nye,367.0420582499105,1799.6470588235295,38.508,30.726446240797788,-117.25,0.33077052,0.24684368,37.56851270166968,5.4677434,1.0729418,21281.85928564996,8.057422074112306,43364,Nevada,-8,68.29495894246747,1079230.211694201
19.151314892578124,614.55715021827,823.5065403808594,32023,United States,Nye,31.73775321130582,2102.5,38.53,33.9769355729646,-117.113,0.32674494,0.24383952,37.97818266429447,5.4021487,1.071136,1050411.4698617598,439.129707475003,43365,Nevada,-8,71.95511823725907,151710.85547054285
30.56680942382812,980.8750433029744,1314.3728052246092,32023,United States,Nye,252.8744478921033,2221.3571428571427,38.551,34.29918203041614,-116.976,0.32893947,0.24547723,37.64916773259302,5.4159484,1.0685505,288360.758622017,263.0581492123381,43366,Nevada,-8,71.94834976300916,933313.5521438436
42.30792158203125,1357.6420043854391,1819.240628027344,32023,United States,Nye,240.495285579453,2241.230769230769,38.573,32.474034739509655,-116.84,0.32526422,0.24273449,38.03204940220214,5.361581,1.067113,288360.758622017,263.0581492123381,43367,Nevada,-8,70.5060841417118,855381.5982882334
4.926419604492187,158.0865883095377,211.83604299316409,32023,United States,Nye,67.59238307928234,2283.222222222222,38.594,41.42735261666336,-116.703,0.32278645,0.24088536,38.26779072242461,5.314359,1.0652275,1050411.4698617598,439.129707475003,43368,Nevada,-8,79.69514333908796,397553.3161650499
0.4085640197753906,13.110637106812463,17.568252850341796,32023,United States,Nye,82.70178566873412,2183.75,38.615,196.5045562246657,-116.566,0.3240233,0.24180843,38.06136532981855,5.329046,1.0631958,1050411.4698617598,439.129707475003,43369,Nevada,-8,234.56592155448428,5844114.680448061
7.483103723144531,240.1294312160523,321.77346009521483,32023,United States,Nye,218.471324548774,2142.428571428572,38.636,39.98410022587332,-116.429,0.32179677,0.24014689,38.26634188234985,5.3101788,1.0612439,288360.758622017,263.0581492123381,43370,Nevada,-8,78.25044210822317,1104875.303542387
